Table 13												
"Hate Crime Incidents
per Bias Motivation and Quarter
by State and Agency	 2008"												
State	Agency type	Agency name	Number of incidents per bias motivation					Number of incidents per quarter1				Population2
			Race	Religion	"Sexual
orientation"	Ethnicity	Disability	"1st
quarter"	"2nd
quarter"	"3rd
quarter"	"4th
quarter"	
		Arvin	0	0	0	1	0	1	0	0	0	"15	219"
		Auburn	1	0	0	0	0	1	0	0	0	"13	084"
		Azusa	1	0	1	0	0	0	0	0	2	"46	840"
		Bakersfield	1	0	1	0	0	0	0	2	0	"326	046"
		Bellflower	2	0	0	2	0	3	0	0	1	"73	488"
		Belmont	1	0	0	0	0	0	1	0	0	"24	588"
		Beverly Hills	3	0	1	1	0	0	2	1	2	"34	684"
		Blythe	0	0	1	0	0	0	0	0	1	"23	042"
		Brea	0	0	1	0	0	0	0	0	1	"38	762"
		Brentwood	0	1	0	0	0	0	0	1	0	"52	741"
		Buena Park	1	0	0	0	0	0	1	0	0	"79	431"
		Burbank	2	5	0	1	1	0	2	4	3	"103	640"
		Calexico	1	0	0	0	0	0	1	0	0	"39	134"
		Camarillo	1	10	1	1	0	0	1	10	2	"63	843"
		Campbell	2	0	0	0	0	2	0	0	0	"37	649"
		Carlsbad	0	0	1	0	0	1	0	0	0	"97	670"
		Carson	1	0	0	0	0	0	1	0	0	"93	170"
		Chico	2	0	1	0	0	1	0	2	0	"84	086"
		Chino	1	1	2	0	0	0	1	1	2	"84	595"
		Chula Vista	3	6	2	2	0	1	1	8	3	"223	408"
		City of Angels	1	1	0	0	0	1	0	1	0	"3	825"
		Cloverdale	0	1	1	1	0	0	0	3	0	"8	333"
		Clovis	1	0	0	0	0	0	0	1	0	"93	848"
		Compton	3	0	0	0	0	1	0	1	1	"94	519"
		Corona	3	1	1	1	0	2	2	2	0	"153	193"
		Costa Mesa	0	0	2	0	0	0	0	1	1	"108	898"
		Covina	3	1	0	1	0	2	0	2	1	"47	291"
		Crescent City	0	1	0	0	0	0	0	1	0	"7	980"
		Cupertino	1	0	0	0	0	0	0	1	0	"53	385"
		Cypress	2	0	0	0	0	1	1	0	0	"47	212"
		Daly City	0	0	1	0	0	0	0	1	0	"100	542"
		Davis	1	1	2	1	1	1	2	0	3	"63	179"
		Dinuba	0	0	1	0	0	0	0	0	1	"20	366"
		Dublin	0	0	1	1	0	0	0	0	2	"45	995"
		East Palo Alto	1	0	0	2	0	0	0	3	0	"33	513"
		El Cajon	1	0	0	0	0	0	0	1	0	"92	225"
		El Cerrito	1	0	0	0	0	0	0	1	0	"22	116"
		Elk Grove	1	1	0	2	0	1	1	1	1	"139	395"
		El Monte	9	1	0	1	0	1	3	6	1	"123	049"
		El Segundo	1	1	0	0	0	0	1	0	1	"16	310"
		Emeryville	0	0	1	0	0	0	0	1	0	"9	704"
		Encinitas	0	0	0	1	0	0	0	1	0	"60	211"
		Escondido	3	0	1	1	0	0	4	1	0	"136	508"
		Eureka	0	0	2	1	0	0	1	0	2	"25	313"
		Fairfield	1	0	0	0	0	1	0	0	0	"104	927"
		Fontana	1	0	0	0	0	1	0	0	0	"189	253"
		Fountain Valley	0	1	0	0	0	0	0	0	1	"55	524"
		Fremont	3	0	0	0	0	2	0	1	0	"200	964"
		Fresno	3	0	3	0	0	2	0	2	2	"475	723"
		Fullerton	1	0	0	0	0	0	0	1	0	"132	776"
		Galt	1	0	0	0	0	0	0	1	0	"24	503"
		Gardena	1	0	0	0	0	0	1	0	0	"58	814"
		Garden Grove	3	0	0	1	0	1	1	0	2	"165	629"
		Glendale	0	0	0	1	0	1	0	0	0	"197	182"
		Glendora	3	0	0	0	0	1	0	1	1	"49	738"
		Greenfield	0	0	1	0	0	0	0	1	0	"15	145"
		Guadalupe	1	0	0	0	0	0	1	0	0	"6	745"
		Hawaiian Gardens	2	0	0	0	0	1	1	0	0	"15	337"
		Hawthorne	1	1	0	0	0	0	1	1	0	"84	445"
		Hemet	0	0	0	5	0	4	0	0	1	"71	789"
		Hesperia	0	0	0	2	0	0	1	1	0	"88	853"
		Hillsborough	0	0	1	0	0	0	1	0	0	"10	725"
		Hollister	0	0	1	0	0	0	0	1	0	"34	917"
		Huntington Beach	3	0	3	3	0	1	1	4	3	"193	241"
		Huntington Park	0	0	0	1	0	1	0	0	0	"61	307"
		Imperial Beach	1	0	0	0	0	0	1	0	0	"26	335"
		Indio	0	0	2	0	0	0	1	0	1	"89	486"
		Inglewood	1	0	1	0	0	1	1	0	0	"113	454"
		Ione	0	1	0	0	0	0	1	0	0	"7	906"
		Irvine	3	1	0	5	0	1	1	3	4	"209	278"
		La Canada Flintridge	0	1	0	0	0	0	1	0	0	"20	817"
		Laguna Beach	0	0	1	0	0	0	0	0	1	"24	035"
		Laguna Hills	1	0	0	0	0	1	0	0	0	"31	861"
		La Habra	1	1	0	1	0	1	0	1	1	"59	202"
		Lake Elsinore	1	0	0	0	0	0	0	0	1	"52	138"
		Lakewood	2	0	0	3	0	2	1	0	2	"78	894"
		La Mirada	1	0	0	0	0	1	0	0	0	"50	170"
		Lancaster	12	0	1	1	0	3	4	5	2	"147	017"
		La Quinta	1	1	0	1	0	1	0	1	1	"46	306"
		La Verne	2	0	0	0	0	1	1	0	0	"33	298"
		Lemoore	0	0	0	1	0	0	0	1	0	"24	207"
		Livermore	0	0	1	0	0	0	0	0	1	"80	258"
		Lodi	3	0	0	0	0	0	0	1	2	"62	251"
		Lomita	1	0	0	0	0	0	0	0	1	"20	276"
		Long Beach	9	3	8	3	0	5	7	6	5	"467	055"
		Los Alamitos	0	1	0	0	0	1	0	0	0	"11	687"
		Los Angeles	112	83	43	42	0	79	82	65	54	"3	850	920"
		Los Gatos	0	0	1	0	0	0	0	0	1	"29	233"
		Lynwood	0	0	0	2	0	1	0	0	1	"70	381"
		Malibu	1	0	2	0	0	1	0	2	0	"13	100"
		Manhattan Beach	1	2	1	3	0	0	5	1	1	"36	866"
		Manteca	1	1	0	1	0	2	1	0	0	"65	989"
