		Downey	1	0	0	0	0	0	1	0	0	113628					
		Eastvale	3	0	1	0	0	0	1	3	0	55439					
		El	Cajon	0	0	0	1	0	0	0	0	1	101864					
		El	Monte	3	0	2	0	0	2	1	0	2	115356					
		Encinitas	0	0	0	1	0	0	0	1	0	60960					
		Escondido	9	0	0	1	0	6	0	2	2	147386					
		Eureka	2	1	0	0	0	1	0	1	1	27469					
		Fountain	Valley	0	0	1	0	0	1	0	0	0	56674					
		Fowler	1	0	0	0	0	1	0	0	0	5698					
		Fresno	4	0	2	2	0	2	2	2	2	506011					
		Fullerton	0	0	1	0	0	0	0	0	1	138455					
		Gardena	1	0	0	0	0	0	1	0	0	59802					
		Garden	Grove	0	1	1	0	0	1	1	0	0	175079					
		Gilroy	0	0	0	1	0	1	0	0	0	50042					
		Glendale	1	0	0	0	0	0	0	0	1	194902					
		Greenfield	1	0	0	0	0	1	0	0	0	16765					
		Hanford	1	0	0	0	0	0	0	0	1	54787					
		Hawaiian	Gardens	2	0	0	0	0	1	0	0	1	14493					
		Hawthorne	2	0	0	0	0	1	0	1	0	85692					
		Hayward	2	1	1	0	0	1	1	2	0	147424					
		Hemet	2	0	0	0	0	1	0	1	0	81213					
		Hercules	0	0	1	0	0	0	1	0	0	24682					
		Hermosa	Beach	1	0	0	0	0	0	0	1	0	19830					
		Hesperia	1	0	0	0	0	0	1	0	0	92383					
		Highland	1	0	0	0	0	0	0	1	0	54403					
		Hughson	0	1	0	0	0	0	0	0	1	6754					
		Huntington	Beach	4	2	2	2	0	3	0	2	5	194677					
		Inglewood	0	0	1	0	0	0	0	1	0	111488					
		Irvine	0	2	0	1	0	2	0	0	1	217528					
		Laguna	Beach	0	0	1	0	0	0	0	1	0	23283					
		Laguna	Hills	0	0	0	1	0	1	0	0	0	31090					
		La	Habra	0	0	1	0	0	0	0	1	0	61731					
		Lake	Elsinore	0	0	1	0	0	1	0	0	0	53912					
		Lake	Forest	0	0	0	1	0	0	0	1	0	79166					
		Lakewood	3	0	0	0	0	1	0	2	0	81382					
		La	Mesa	1	0	1	0	0	1	0	1	0	58444					
		La	Mirada	0	0	0	1	0	1	0	0	0	49312					
		Lancaster	4	2	0	1	0	1	5	1	0	159155					
		La	Quinta	0	0	1	0	0	1	0	0	0	38690					
		Lawndale	1	0	0	0	0	0	0	1	0	33312					
		Lemon	Grove	1	0	1	0	0	0	2	0	0	25932					
		Livermore	1	1	0	1	0	2	1	0	0	82800					
		Livingston	0	0	1	0	0	0	0	1	0	13394					
		Lodi	2	0	1	0	0	1	1	1	0	63718					
		Lomita	2	0	0	0	0	0	0	1	1	20591					
		Long	Beach	1	2	1	0	0	0	2	1	1	469893					
		Los	Angeles	41	25	41	17	0	23	33	34	34	3855122					
		Los	Gatos	0	0	1	0	0	0	0	0	1	30161					
		Lynwood	1	0	0	0	0	1	0	0	0	70908					
		Mammoth	Lakes	0	0	0	1	0	0	1	0	0	8373					
		Marysville	0	0	0	1	0	0	0	1	0	12254					
		Merced	0	0	1	0	0	1	0	0	0	80976					
		Milpitas	0	0	0	1	0	0	1	0	0	68433					
		Modesto	3	0	1	0	1	2	1	0	2	204631					
		Monrovia	1	1	0	0	0	0	0	2	0	37199					
		Montclair	0	0	2	1	0	0	1	1	1	37556					
		Monterey	Park	1	0	1	0	0	0	1	1	0	61270					
		Moreno	Valley	1	0	0	0	0	0	0	0	1	199673					
		Murrieta	0	1	1	0	0	0	0	1	1	106839					
		Napa	0	0	0	1	0	0	0	1	0	78589					
		National	City	1	0	0	1	0	0	0	0	2	59920					
		Newark	0	2	2	1	0	0	2	3	0	43539					
		Newport	Beach	0	5	1	1	0	0	1	4	2	87286					
		Norwalk	1	0	1	0	0	0	2	0	0	107295					
		Novato	1	0	0	1	0	1	0	1	0	52942					
		Oakland	5	1	5	0	0	2	6	3	0	399487					
		Oceanside	6	0	1	2	0	4	3	2	0	171141					
		Ontario	1	0	0	1	0	1	0	0	1	167933					
		Orange	1	0	0	0	0	0	0	0	1	139692					
		Orland	0	0	0	1	0	1	0	0	0	7361					
		Oxnard	3	0	1	0	0	0	1	1	2	201797					
		Pacifica	1	2	0	0	0	0	1	2	0	38041					
		Palmdale3	10	1	3	3	0	7	5	5	0	155294					
		Palm	Desert	1	0	0	0	0	1	0	0	0	50021					
		Palm	Springs	0	3	2	1	0	4	2	0	0	45996					
		Palo	Alto	2	2	0	0	0	0	3	0	1	66019					
		Paradise	1	0	0	0	0	0	1	0	0	26492					
		Paramount	3	0	0	1	0	2	1	0	1	54997					
		Parlier	0	0	1	0	0	0	0	1	0	14828					
		Pasadena	1	1	0	0	0	0	1	0	1	139382					
		Paso	Robles	0	0	0	1	0	0	0	1	0	30344					
		Pico	Rivera	0	0	1	0	0	0	0	0	1	63988					
		Pinole	0	1	0	0	0	1	0	0	0	18864					
		Pittsburg	1	0	0	0	0	0	1	0	0	64890					
		Placerville	1	0	0	0	0	0	1	0	0	10479					
		Pomona	1	1	2	0	0	0	2	1	1	151511					
		Poway	0	1	0	0	0	0	1	0	0	48968					
		Rancho	Palos	Verdes	1	0	0	0	0	1	0	0	0	42335					
		Rancho	Santa	Margarita	0	1	0	0	0	0	0	0	1	49038					
